IndicatorType	reportingperiod	orgunit	orgnunituid	mech_code	partner	operatingunit	psnu	indicator	sex	age	population	otherdisaggregate	numdenom	val
Custom	FY21 Q3	Vilankulo	eN26Kt2lvOM	18280	FHI360	Mozambique	Vilankulo	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	10
Custom	FY21 Q3	Xai-Xai	kKXWgaF11TT	18280	FHI360	Mozambique	Xai-Xai	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	22
Custom	FY21 Q3	Xai-Xai	kKXWgaF11TT	18280	FHI360	Mozambique	Xai-Xai	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	7
Custom	FY21 Q3	Chimoio	RTCsjF28gNA	18280	FHI360	Mozambique	Chimoio	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	37
Custom	FY21 Q3	Chimoio	RTCsjF28gNA	18280	FHI360	Mozambique	Chimoio	PrEP_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	40
Custom	FY21 Q3	Chimoio	RTCsjF28gNA	18280	FHI360	Mozambique	Chimoio	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	37
Custom	FY21 Q3	Chimoio	RTCsjF28gNA	18280	FHI360	Mozambique	Chimoio	PrEP_SCREEN			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	48
Custom	FY21 Q3	Chimoio	RTCsjF28gNA	18280	FHI360	Mozambique	Chimoio	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	17
Custom	FY21 Q3	Chimoio	RTCsjF28gNA	18280	FHI360	Mozambique	Chimoio	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	12
Custom	FY21 Q3	Chimoio	RTCsjF28gNA	18280	FHI360	Mozambique	Chimoio	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	6
Custom	FY21 Q3	Kamavota	OSrBvFsAtYz	18280	FHI360	Mozambique	Kamavota	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	0
Custom	FY21 Q3	Kamavota	OSrBvFsAtYz	18280	FHI360	Mozambique	Kamavota	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	7
Custom	FY21 Q3	Kampfumu	oMVRVkQ4d6Q	18280	FHI360	Mozambique	Kampfumu	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	28
Custom	FY21 Q3	Kampfumu	oMVRVkQ4d6Q	18280	FHI360	Mozambique	Kampfumu	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	12
Custom	FY21 Q3	Kampfumu	oMVRVkQ4d6Q	18280	FHI360	Mozambique	Kampfumu	TX_NEW_VERIFY			People who inject drugs (PWID)	Site Support Type: PEPFAR supported	Numerator	6
Custom	FY21 Q3	Kamubukwana	itceRrMEAiB	18280	FHI360	Mozambique	Kamubukwana	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	15
Custom	FY21 Q3	Kamubukwana	itceRrMEAiB	18280	FHI360	Mozambique	Kamubukwana	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	28
Custom	FY21 Q3	Matola	rPJ8B53FKqF	18280	FHI360	Mozambique	Matola	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	68
Custom	FY21 Q3	Matola	rPJ8B53FKqF	18280	FHI360	Mozambique	Matola	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	43
