Partner,Province,District,Health Facility,DATIM_code,SISMA_code,Type,Period,attribute,value,indicator
ARIEL,Cabo Delgado,Chiure,"Samora Machel CS (Cabo Delgado, Chiure)",E6KoR8hXk7P,1020404,ER_P2,2021-04-20,TX_CURR_TPT_Com,569,TPT Completed
ARIEL,Cabo Delgado,Chiure,"Samora Machel CS (Cabo Delgado, Chiure)",E6KoR8hXk7P,1020404,ER_P2,2021-04-20,TX_CURR_TB_tto,17,Recent Active TB TX
ARIEL,Cabo Delgado,Chiure,"Samora Machel CS (Cabo Delgado, Chiure)",E6KoR8hXk7P,1020404,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,0,Recent Pos TB Screen
ARIEL,Cabo Delgado,Chiure,"Samora Machel CS (Cabo Delgado, Chiure)",E6KoR8hXk7P,1020404,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,139,Actively on TPT
ARIEL,Cabo Delgado,Chiure,"Samora Machel CS (Cabo Delgado, Chiure)",E6KoR8hXk7P,1020404,ER_P2,2021-04-20,TX_CURTot,923,TX_CURR
ARIEL,Cabo Delgado,Chiure,"Samora Machel CS (Cabo Delgado, Chiure)",E6KoR8hXk7P,1020404,ER_P2,2021-04-20,TPT_candidates,198,TPT Candidates
ARIEL,Cabo Delgado,Chiure,"Samora Machel CS (Cabo Delgado, Chiure)",E6KoR8hXk7P,1020404,ER_P2,2021-04-20,TPT_ineligible,17,TPT Ineligible
ARIEL,Cabo Delgado,Macomia,Macomia CS I,nIhIdZmXLXS,1020612,ER_P2,2021-04-20,TX_CURR_TPT_Com,3,TPT Completed
ARIEL,Cabo Delgado,Macomia,Macomia CS I,nIhIdZmXLXS,1020612,ER_P2,2021-04-20,TX_CURR_TB_tto,1,Recent Active TB TX
ARIEL,Cabo Delgado,Macomia,Macomia CS I,nIhIdZmXLXS,1020612,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,0,Recent Pos TB Screen
ARIEL,Cabo Delgado,Macomia,Macomia CS I,nIhIdZmXLXS,1020612,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,0,Actively on TPT
ARIEL,Cabo Delgado,Macomia,Macomia CS I,nIhIdZmXLXS,1020612,ER_P2,2021-04-20,TX_CURTot,103,TX_CURR
ARIEL,Cabo Delgado,Macomia,Macomia CS I,nIhIdZmXLXS,1020612,ER_P2,2021-04-20,TPT_candidates,99,TPT Candidates
ARIEL,Cabo Delgado,Macomia,Macomia CS I,nIhIdZmXLXS,1020612,ER_P2,2021-04-20,TPT_ineligible,1,TPT Ineligible
ARIEL,Cabo Delgado,Mecufi,Mecufi CS II,QRaKmOedEZx,1020706,ER_P2,2021-04-20,TX_CURR_TPT_Com,267,TPT Completed
ARIEL,Cabo Delgado,Mecufi,Mecufi CS II,QRaKmOedEZx,1020706,ER_P2,2021-04-20,TX_CURR_TB_tto,17,Recent Active TB TX
ARIEL,Cabo Delgado,Mecufi,Mecufi CS II,QRaKmOedEZx,1020706,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,1,Recent Pos TB Screen
